group,phrase,head_word,mechanism,diff_pull,phrase_pull,head_pull,pull_amplification,diff_target_sim,diff_neutral_sim
candidate,grab a drink,drink,metonymic: single act → drinking session,-0.03363247619387401,0.2692505303993578,0.29919731818014855,-0.02994678778079074,-0.13765595827853702,-0.10402348208466301
candidate,hit the bar,bar,metonymic: arrival → drinking,0.16683518023964256,0.18702155080601443,0.03648336252769002,0.1505381882783244,0.032144818872513595,-0.13469036136712897
candidate,crack open a cold one,cold,metonymic: opening act → drinking,0.13382491918962378,0.21798375976918977,0.06712639047034996,0.1508573692988398,0.035899446554045276,-0.09792547263557849
candidate,happy hour,happy,metonymic: time frame → drinking,0.1586896089659187,0.21564146865159634,0.037366722682436126,0.1782747459691602,0.11689207932760645,-0.04179752963831223
candidate,liquid lunch,liquid,metonymic: substance → drinking instead of eating,0.18892375486575486,0.27951308013915394,0.09528449373538661,0.18422858640376732,0.056423530865259364,-0.1325002240004955
candidate,nightcap,night,metonymic: end-of-day → final drink,0.23857809530977017,0.27098267501067863,0.02030735607394224,0.2506753189367364,0.12886562709419203,-0.10971246821557815
control,grab a bite,bite,literal: eating,-0.052482129190339594,0.04358378302105978,0.09537528855687066,-0.05179150553581088,-0.06482482891253044,-0.012342699722190847
control,hit the gym,gym,literal: exercise,0.1844532290913141,0.009369713288515158,-0.14583569982424327,0.15520541311275843,-0.0748201748799551,-0.2592734039712692
control,crack open a book,book,literal: reading,0.0915465583521333,0.01643525253575623,-0.07859182730622188,0.09502707984197811,-0.08598747513817825,-0.17753403349031155
control,happy ending,happy,literal/other: conclusion,-0.028075067319875538,0.008859806130865011,0.037381537343426086,-0.028521731212561074,-0.09625715223023094,-0.0681820849103554
control,liquid assets,liquid,literal: finance,-0.09894948261703836,-0.0011940442030770049,0.09526447050207548,-0.09645851470515249,-0.17407172220216668,-0.07512223958512833
control,night shift,night,literal: work schedule,0.018245644123869413,0.037214354252890214,0.020391076525946905,0.01682327772694331,-0.038462644112529164,-0.05670828823639858
